ID;Imei;Device;
363;350077FF;Siemens S40;
364;350078FF;Siemens S42;
365;350079FF;Siemens C30;
366;350080FF;Siemens M30;
367;350090FF;Maxon MX-6830;
368;350091FF;Maxon MX-6831;
369;350092FF;Blackberry;
370;350093FF;Hughes HNS-7100;
371;350096FF;Sendo SND 880;
372;350098FF;NEC DB3300W;
373;350101FF;Nokia 3310;
374;350102FF;Nokia 3310;
375;350103FF;Nokia 3310;
376;350104FF;Nokia 3310;
377;350105FF;Nokia PCMCIA;
378;350107FF;Nokia 6010;
379;350108FF;Nokia 6010;
380;350109FF;Nokia 6091;
381;350110FF;Nokia 6091;
382;350111FF;Nokia 8850;
383;350112FF;Nokia 8210;
384;350113FF;Nokia 6090;
385;350114FF;Nokia 3310;
386;350115FF;Nokia 8210;
387;350121FF;UbiNetics GA100;
388;350132FF;Maxon MX-6832;
389;350133FF;Maxon MX-6833;
390;350134FF;Maxon MX-6836;
391;350135FF;Maxon MX-6837;
392;350137FF;Nokia 3330;
393;350138FF;Nokia 6210;
394;350139FF;Nokia 3310;
395;350140FF;Nokia 3210;
396;350141FF;Nokia 3210;
397;350142FF;Nokia 22;
398;350143FF;Nokia 8250;
399;350144FF;Nokia 3310;
400;350145FF;Nokia 3310;
401;350146FF;Nokia 6210;
402;350147FF;Nokia 6210;
403;350148FF;Nokia 6210;
404;350149FF;Nokia 9210;
405;350150FF;Nokia 3330;
406;350151FF;Nokia 3330;
407;350156FF;Sendo SND 200;
408;350167FF;Maxon MX-6812;
409;350168FF;Maxon MX-6816;
410;350169FF;Matsushita GD35;
411;35017027;Siemens S45i;
412;350170FF;Siemens S45;
413;350171FF;Siemens 6618;
414;350172FF;Siemens ME45;
415;350173FF;Siemens 3618;
416;350174FF;Siemens MX45;
417;350175FF;Siemens 8118;
418;350179FF;Matsushita GD92;
419;35018789;Samsung A300;
420;350192FF;Maxon MX-6820;
421;35044310;Sony Ericsson P800;
422;350600FF;Nokia 3330;
423;350601FF;Nokia 8210;
424;350602FF;Nokia 8210;
425;350603FF;Nokia 8250;
426;350604FF;Nokia 8310/6500;
427;350605FF;Nokia 3310;
428;350606FF;Nokia 3310;
429;350607FF;Nokia 3310;
430;350608FF;Nokia 3310;
431;350609FF;Nokia 3330;
432;350610FF;Nokia 6210;
433;350611FF;Nokia 6210;
434;350612FF;Nokia 6210;
435;350613FF;Nokia 8210;
436;350614FF;Nokia 8210;
437;350615FF;Maxon MX-7810;
438;350616FF;Maxon MX-7811;
439;350636FF;Motorola V66i;
440;350638FF;Motorola T190;
441;350639FF;Motorola 280i;
442;350642FF;Motorola V66i;
443;350644FF;Motorola V60i;
444;350647FF;Motorola C330;
445;350654FF;Motorola A830;
446;350657FF;Matsushita GD80;
447;350666FF;Siemens SL45i;
448;35066832;Sony J70;
449;350669FF;Maxon MX-6826;
450;350673FF;Siemens C45;
451;350674FF;Siemens C45;
452;350675FF;Matsushita GD35;
453;350676FF;Philips TCD 996;
454;350677FF;CELLon CMS 91;
455;350679FF;CELLon R768;
456;350686FF;Nokia 3350;
457;350687FF;Nokia 8855;
458;350688FF;Nokia 5110i;
459;35068920;Nokia 5510;
460;350689FF;Nokia 5510;
461;350690FF;Nokia 20;
462;350691FF;Nokia 5210;
463;350692FF;Nokia 3330;
464;350693FF;Nokia 3330;
465;350694FF;Nokia 3330;
466;350695FF;Nokia 6310;
467;350696FF;Nokia 5510;
468;350697FF;Nokia 6510;
469;350698FF;Nokia 8910;
470;350699FF;Nokia 3310;
471;350700FF;Nokia 8310/6500;
472;350701FF;Matsushita GD95;
473;350724FF;Matsushita GD75;
474;350741FF;Sendo SND220;
475;350742FF;Sendo SND820;
476;350751FF;Siemens A40/B40;
477;350755FF;Maxon MX-6880;
478;350759FF;Matsushita GD96;
479;350760FF;Matsushita GD85;
480;350765FF;Matsushita GD95;
481;350767FF;Nokia 3330;
482;350768FF;Nokia 3330;
483;350769FF;Nokia 6210;
484;350770FF;Nokia 3310;
485;350771FF;Nokia 3310;
486;350772FF;Nokia 5510;
487;350774FF;Nokia 7650;
488;350775FF;Nokia 30/32;
489;350776FF;Nokia 8210;
490;350777FF;Nokia 8310/6500;
491;350778FF;Nokia 5210;
492;350779FF;Nokia 8250;
493;350780FF;Nokia 6310i;
494;350781FF;Nokia 6210;
495;350786FF;Maxon MX-7812;
496;350787FF;Maxon MX-7830;
497;350788FF;Maxon MX-7920;
498;350809FF;Matsushita GD75;
499;350810FF;Siemens K45;
500;350811FF;Siemens K4588;
501;350814FF;Siemens 6688i;
502;350824FF;Matsushita GD86;
503;350827FF;Sendo SND220;
504;350829FF;Maxon HIS777;
505;350830FF;Maxon C-5068;
506;350831FF;Matsushita GD76;
507;350832FF;Matsushita GD67;
508;350835FF;Nokia 3315;
509;350836FF;Nokia 3330;
510;350837FF;Nokia 3330;
511;350838FF;Nokia 6500;
512;350839FF;Nokia 3410;
513;350840FF;Nokia 9210i;
514;350841FF;Nokia 6310;
515;350842FF;Nokia 6310;
516;350843FF;Nokia 3510;
517;350844FF;Nokia 8310;
518;350845FF;Nokia 3310;
519;350846FF;Nokia 3330;
520;350847FF;Nokia 3330;
521;350848FF;Nokia D211;
522;350849FF;Nokia 3310;
523;350864FF;Maxon SG-6680;
524;350869FF;UbiNetics GM401;
525;350874FF;Siemens MT50;
526;350875FF;Sendo SND230;
527;350880FF;Nokia 6800;
528;350881FF;Nokia 5210;
529;350882FF;Nokia 6510;
530;350883FF;Nokia 8310;
531;350884FF;Nokia 3610;
532;350885FF;Nokia 3330;
533;350886FF;Nokia 3330;
534;350887FF;Nokia 8250;
535;350888FF;Nokia 3310;
536;350889FF;Nokia3410;
537;350890FF;Nokia 3410;
538;350891FF;Nokia C5520;
539;350892FF;Nokia 5210;
540;350893FF;Nokia 7210;
541;350894FF;Nokia 6610;
542;350904FF;Motorola T720/i;
543;350907FF;Motorola C350;
544;350933FF;Maxon MX-6870;
545;350937FF;Matsushita GD68;
546;350968FF;Sendo SND230;
547;350984FF;Nokia 6310i;
548;350985FF;Nokia 8310;
549;350986FF;Nokia 3510;
550;350987FF;Nokia 3310;
551;350988FF;Nokia 3330;
552;350989FF;Nokia 6650;
553;350990FF;Nokia 5210;
554;350991FF;Nokia 6100;
555;350992FF;Nokia 3310;
556;350993FF;Nokia 3310;
557;350994FF;Nokia 3410;
558;350995FF;Nokia 3315;
559;350996FF;Nokia 8250;
560;350997FF;Nokia 6310i;
561;350998FF;Nokia 3510i/3530;
562;350999FF;Nokia 8310/6500;
563;351000FF;Nokia 3310;
564;351011FF;Siemens C55;
565;351012FF;Siemens C55;
566;351013FF;Maxon MX-i18;
567;35103726;LG W3000;
568;351053FF;UbiNetics TM200;
569;351066FF;Panasonic GD87;
570;351067FF;Panasonic GD87;
571;351068FF;Panasonic GD-88;
572;351070FF;NEC e606;
573;35107485;maxon mx7931;
574;351076FF;UbiNetics GM404;
575;351077FF;UbiNetics GM405;
576;351083FF;Siemens S55;
577;351084FF;Siemens S57;
578;351085FF;Siemens S57;
579;351100FF;Nokia 3410;
580;351101FF;Nokia 3410;
581;351102FF;Nokia 3650;
582;35110310;Nokia 8910i;
583;351103FF;Nokia 8910i;
584;351104FF;Nokia 8310/6500;
585;351105FF;Nokia 6510;
586;351106FF;Nokia 3310;
587;351107FF;Nokia 3310;
588;351108FF;Nokia 3350;
589;35110920;Nokia 6310;
590;351109FF;Nokia 6310i;
591;351110FF;Nokia 6310i;
592;351111FF;Nokia 7650;
593;351112FF;Nokia 3510;
594;351113FF;Nokia 5210;
595;351114FF;Nokia 7210;
596;351115FF;Nokia 3410;
597;351116FF;Nokia 3410;
598;351117FF;Nokia 3510;
599;351118FF;Nokia 3330;
600;351119FF;Nokia 3315;
601;351120FF;Maxon DW-600;
602;351121FF;Maxon DW-610;
603;351122FF;Maxon MX-6882;
604;351123FF;Maxon MX-6883;
605;351124FF;Maxon MX-6891;
606;351174FF;NEC e222/n222;
607;351175FF;NEC n22i;
608;351176FF;NEC N8000;
609;351177FF;NEC N535i;
610;35129100;Sony Ericsson T100;
611;351305FF;Siemens U10;
612;351324FF;Maxon DW612;
613;351329FF;UbiNetics GM430;
614;351340FF;Nokia 3310;
615;351341FF;Nokia 3310;
616;351342FF;Nokia 3310;
617;351343FF;Nokia 3310;
618;351344FF;Nokia 2100;
619;351345FF;Nokia 8250;
620;351346FF;Nokia 7250;
621;35134700;Nokia 5100;
622;35134720;Nokia 5100;
623;351347FF;Nokia 5100;
624;351348FF;Nokia 8310/6500;
625;351349FF;Nokia 6510;
626;351350FF;Nokia 6610;
627;351351FF;Nokia 3310;
628;351352FF;Nokia 3300a;
629;351353FF;Nokia 5210;
630;351354FF;Nokia 3510i/30;
631;351374FF;NEC e808N/s;
632;351375FF;NEC e808Y/c808Y;
633;351383FF;Panasonic GU87;
634;351384FF;Panasonic GD86A;
635;351387FF;UbiNetics GM430;
636;351423FF;Maxon MX-7951;
637;351451FF;Nokia 6100;
638;351452FF;Nokia 3410;
639;351453FF;Nokia 6310i;
640;351454FF;Nokia 3315;
641;351455FF;Nokia 3310;
642;35145680;Nokia 3310;
643;351456FF;Nokia 3310;
644;351457FF;Nokia 6310i;
645;351458FF;Nokia 3310;
646;351459FF;Nokia 3310;
647;351460FF;Nokia 7250i;
648;351461FF;Nokia 6200;
649;351462FF;Nokia 3510i/30;
650;351463FF;Nokia 7210;
651;351464FF;Nokia 3510;
652;351465FF;Nokia 3315;
653;351466FF;Nokia 3610;
654;351467FF;Nokia 3650;
655;351468FF;Nokia 3650;
656;351469FF;Nokia 3650;
657;351470FF;Nokia 8250;
658;351471FF;Nokia 5100;
659;351472FF;Nokia 6510;
660;351473FF;Nokia 8310/6500;
661;351474FF;Nokia 6108;
662;351475FF;Nokia 3310;
663;351476FF;Nokia 3510i/30;
664;351477FF;Nokia 3510i/30;
665;351478FF;Nokia 2100;
666;351479FF;Nokia 3315;
667;351480FF;Nokia 7650;
668;351481FF;Nokia 3410;
669;351482FF;Nokia 3410;
670;351483FF;Nokia 3410;
671;351484FF;Nokia 3410;
672;351485FF;Nokia 3410;
673;351486FF;Nokia 3315;
674;351487FF;Nokia 6310i;
675;351488FF;Nokia 6310i;
676;35150100;Nokia 810;
677;35150101;Nokia 810;
678;35150200;Nokia 5100;
679;35150300;Nokia 3310;
680;35150400;Nokia 3310;
681;35150500;Nokia 6610;
682;35150700;Nokia 6220;
683;35150800;Nokia 6220;
684;35150900;Nokia 6200;
685;35151000;Nokia 6800;
686;35151100;Nokia 6100;
687;35151200;Nokia 8310;
688;35151300;Nokia 7250;
689;35151400;Nokia 3510i/3530;
690;35151401;Samsung D830;
691;35151500;Nokia 7250i;
692;35151600;Nokia 3100;
693;35151700;Nokia 3100;
694;35151800;Nokia 3100;
695;35151900;Nokia 5210;
696;35152000;Nokia N-GAGE;
697;35152100;Nokia N-GAGE;
698;35152200;Nokia 2100;
699;35152300;Nokia 2100;
700;35152400;Nokia 2100;
701;35152500;Nokia 6600;
702;35152600;Nokia 6100;
703;35152601;Motorola C117;
704;35152700;Nokia 6610;
705;35152800;Nokia 3510i/30;
706;35152801;Motorola C117;
707;35152900;Nokia 3660;
708;35152901;Motorola C168;
709;35153000;Nokia 3660;
710;35153001;Motorola V3;
711;35153100;Nokia 3660;
712;35153200;Nokia 3660;
713;35153300;Nokia 3660;
714;35153400;Nokia 3310;
715;35153500;Nokia 6100;
716;35153501;Motorola E680;
717;35153600;Nokia 3510i/30;
718;35153700;Nokia 3510i/30;
719;35153800;Nokia 6100;
720;35153801;Motorola V3i;
721;35153900;Nokia 1100;
722;35154000;Nokia 6610;
723;35154100;Nokia 3410;
724;35154200;Nokia 8250;
725;35154300;Nokia 7250i;
726;35154400;Nokia 2100;
727;35154401;Motorola E6;
728;35154500;Nokia 7250i;
729;35154501;Motorola E398;
730;35154600;Nokia 6600;
731;35154601;Motorola C117;
732;35154700;Nokia 7600;
733;35154701;Motorola C117;
734;35154800;Nokia 7600;
735;35154801;Motorola V220;
736;35154900;Nokia 6310i;
737;35154901;Motorola C114;
738;35155000;Nokia 6310i;
739;35155001;Motorola C117;
740;35155600;Haier G1000;
741;35155901;SonyEricsson K310i;
742;35156001;Sony Ericsson K310i;
743;35156101;SonyEricsson K310i/c;
744;35156400;Maxon MX-6883;
745;35156500;Maxon MX-7952;
746;35156600;Maxon MX-7953;
747;35156700;Ningbo Bird V18;
748;35156800;Samsung N500;
749;35157000;LG G5210;
750;35157100;LG G5400;
751;35157501;Samsung D407;
752;35157700;TCL Mobile S600;
753;35157800;Sagem MyX-6;
754;35157801;NEC e132;
755;35157900;Sagem MyX-6;
756;35158000;Sagem MyX-6;
757;35158100;Sagem MyX-6;
758;35158200;Sagem MyX-6;
759;35158300;Sagem MyX-6;
760;35158400;Sagem MyX-6;
761;35158500;Compal F68;
762;35158600;Siemens A55;
763;35158700;Siemens A55;
764;35158701;Samsung C130;
765;35158800;Siemens A55;
766;35158900;Siemens A55;
767;35159000;Siemens A55;
768;35159100;Siemens A55;
769;35159200;Siemens A55;
770;35159300;Siemens A55;
771;35159301;Konka D163;
772;35159400;Mirae MGH-801;
773;35159500;Mirae MGH-820;
774;35159700;Konka D108;
775;35159900;Ezio E58;
776;35160000;Ezio E79;
777;35160100;Ezio E88;
778;35160301;LG 890;
779;35160400;Haier 1000;
780;35160500;CECT 920;
781;35160600;Sagem MO170/90;
782;35160901;SonyEricsson Z520a;
783;35161000;Siemens X3;
784;35161100;Matsushita CF-27SB;
785;35161300;Alcatel 535;
786;35161400;Alcatel 535;
787;35161401;Samsung S401i;
788;35161500;Alcatel 535;
789;35161600;Alcatel 535;
790;35161700;Alcatel 735/BH4;
791;35161800;Alcatel 735;
792;35161900;Alcatel 735;
793;35162000;Alcatel 735;
794;35162300;Samsung V200;
795;35162400;Samsung V200;
796;35162500;Samsung V200c;
797;35162600;Samsung V200c;
798;35163000;Siemens SL55;
799;35163100;Siemens SL55;
800;35163200;Siemens SL55;
801;35163300;Siemens SL55;
802;35163400;Siemens X1;
803;35163500;BenQ M770GT;
804;35163600;Maxon DW-613;
805;35163700;DBTel DB-2017;
806;35163900;Siemens MT50;
807;35164200;Cellon Xelibri X6;
808;35164600;Cellon CT5398;
809;35164700;Cellon Haier Z1000;
810;35164800;Cellon Q500;
811;35165000;Cellon Xelibri X7;
812;35165100;Cellon Q618;
813;35165200;Cellon R798;
814;35165300;Cellon ET716/UT818;
815;35165400;Cellon CT3308;
816;35165500;Philips Xenium 9@9++;
817;35165600;Cellon Q638;
818;35165700;Cellon Z3000;
819;35165800;Cellon Q610;
820;35165900;Cellon Z8000;
821;35166000;Cellon CT 3508;
822;35166100;Cellon C879FM;
823;35166400;Haier Z3200;
824;35166600;Cellon A68;
825;35166700;Cellon C908;
826;35166900;Cellon CT6398;
827;35166901;Samsung X507;
828;35167300;Amio A90;
829;35167301;Sony Ericsson W700i;
830;35167400;Amio A68;
831;35167401;SonyEricsson W700i;
832;35167500;Sendo SND230/S220+ P220+ J520+;
833;35167600;Mitsubishi M21i/M330;
834;35167700;TCL Mobile U2;
835;35167701;SonyEricsson Z520i;
836;35168000;Sharp GX10N;
837;35168100;Sharp GX10i;
838;35168200;Sharp GX20/1/2/7;
839;35168201;Samsung X708;
840;35168300;Sharp GX10i;
841;35168301;Samsung d840;
842;35168400;Sharp GX20/1/2/7;
843;35168500;Sharp GX15/GZ1;
844;35168600;Sharp GX30/1/2;
845;35168700;Sharp TM100;
846;35168800;Sharp GX15/GZ1;
847;35168900;Sharp TM150;
848;35169301;LG V9000;
849;35169400;Pantech Q80;
850;35169500;Pantech GM-100;
851;35169501;HTC P3300/M650;
852;35169600;Ningbo Bird S2000;
853;35169701;Samsung T809;
854;35169800;Maxon MX-7852;
855;35169801;Samsung X300;
856;35169900;DBTel DB-2027a/b;
857;35170001;LG 343i;
858;35170200;Haier P5;
859;35170300;Pantech Pantech Chaos;
860;35170400;Sagem MO105/10/15;
861;35170600;Maxon DW-870;
862;35170701;SonyEricsson K800i;
863;35170800;Samsung R210s;
864;35170801;SonyEricsson K800i;
865;35170900;LG B1300;
866;35170901;Sony Ericsson K610i;
867;35171000;LG B1300;
868;35171001;Sony Ericsson K610i;
869;35171301;Fly mx300;
870;35171400;LG G7040;
871;35171500;LG G5310;
872;35171600;LG G7100;
873;35171800;LG W3000A;
874;35171900;Maxon MX-7970;
875;35172000;Samsung S208;
876;35172100;Samsung S208;
877;35172101;Siemens AC75;
878;35172200;Motorola T150;
879;35172300;Amio F99;
880;35172301;BenQ E71A;
881;35172401;BenQ E71A;
882;35172500;CECT C600;
883;35172501;BenQ E71A;
884;35172700;TCL Mobile S500;
885;35172701;Shenzhen S890;
886;35172800;Motorola V8088;
887;35172900;CECT ROWA 878;
888;35172901;BenQ M81;
